"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	17	58277	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2012"	"2012"	10	57566	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2017"	"2017"	10	56062	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	15	13954	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	11	12846	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"1999"	"1999"	18	19551	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2000"	"2000"	23	19615	117.3
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2001"	"2001"	32	20906	153.1
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2002"	"2002"	19	20283	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2003"	"2003"	22	20630	106.6
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2004"	"2004"	10	19899	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2005"	"2005"	30	18790	159.7
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2006"	"2006"	19	19222	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2007"	"2007"	24	19948	120.3
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2008"	"2008"	24	19809	121.2
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2010"	"2010"	15	19293	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2011"	"2011"	30	20428	146.9
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2013"	"2013"	11	20113	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2014"	"2014"	10	19973	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2015"	"2015"	13	19969	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2016"	"2016"	15	19529	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2017"	"2017"	26	19421	133.9
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	26	82302	31.6
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	36	82186	43.8
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	25	80868	30.9
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2002"	"2002"	22	81864	26.9
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	15	83274	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	11	83455	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2005"	"2005"	15	79280	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	14	76091	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	21	77344	27.2
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	22	76374	28.8
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	11	74060	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2010"	"2010"	22	73407	30.0
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	19	72743	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2013"	"2013"	12	73213	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2014"	"2014"	18	72072	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2015"	"2015"	30	72164	41.6
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2016"	"2016"	14	71213	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"< 1 year"	"0"	"White"	"2106-3"	"2017"	"2017"	18	71082	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"1999"	"1999"	32	52720	60.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2000"	"2000"	27	53310	50.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2001"	"2001"	27	55761	48.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2002"	"2002"	15	51800	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2003"	"2003"	19	48936	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2006"	"2006"	21	51679	40.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2007"	"2007"	20	52685	38.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2008"	"2008"	30	50600	59.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2009"	"2009"	20	49301	40.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2010"	"2010"	17	49610	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2011"	"2011"	16	58142	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2012"	"2012"	21	56239	37.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2013"	"2013"	16	56411	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2017"	"2017"	11	54813	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	45	173521	25.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	40	172935	23.1
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	36	177060	20.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2002"	"2002"	26	175147	14.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	14	175908	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	13	175680	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2005"	"2005"	13	164872	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	43	163480	26.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	45	167193	26.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	46	167857	27.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	36	165094	21.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2010"	"2010"	29	160214	18.1
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	26	159695	16.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2012"	"2012"	20	157080	12.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2013"	"2013"	17	158417	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2014"	"2014"	19	158026	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2015"	"2015"	15	157350	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2016"	"2016"	10	154080	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"< 1 year"	"0"	"White"	"2106-3"	"2017"	"2017"	10	154918	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"1999"	"1999"	40	20563	194.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2000"	"2000"	51	21050	242.3
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2001"	"2001"	44	21867	201.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2002"	"2002"	29	21744	133.4
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2003"	"2003"	21	22475	93.4
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2004"	"2004"	29	24476	118.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2005"	"2005"	15	25004	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2007"	"2007"	29	28006	103.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2008"	"2008"	26	28708	90.6
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2009"	"2009"	29	27063	107.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2010"	"2010"	31	24798	125.0
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2011"	"2011"	12	23754	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2012"	"2012"	16	23234	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2013"	"2013"	11	23537	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2014"	"2014"	12	23529	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2015"	"2015"	21	23454	89.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2016"	"2016"	20	23255	86.0
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2017"	"2017"	14	22864	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	67	116570	57.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	50	116577	42.9
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	36	118420	30.4
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2002"	"2002"	45	114844	39.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	51	114724	44.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	51	113472	44.9
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2005"	"2005"	46	110906	41.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	45	112080	40.1
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	54	112698	47.9
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	56	111194	50.4
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	62	110614	56.1
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2010"	"2010"	42	110547	38.0
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	38	112541	33.8
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2012"	"2012"	46	111269	41.3
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2013"	"2013"	32	112321	28.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2014"	"2014"	31	111473	27.8
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2015"	"2015"	44	111665	39.4
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2016"	"2016"	31	110393	28.1
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"< 1 year"	"0"	"White"	"2106-3"	"2017"	"2017"	39	108645	35.9
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"1999"	"1999"	57	31863	178.9
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2000"	"2000"	58	32039	181.0
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2001"	"2001"	55	33814	162.7
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2002"	"2002"	38	32285	117.7
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2003"	"2003"	43	31058	138.5
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2004"	"2004"	58	31034	186.9
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2005"	"2005"	41	30179	135.9
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2006"	"2006"	30	30309	99.0
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2007"	"2007"	23	31207	73.7
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2008"	"2008"	35	30801	113.6
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2009"	"2009"	20	29977	66.7
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2010"	"2010"	32	29507	108.4
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2011"	"2011"	34	29643	114.7
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2012"	"2012"	31	28670	108.1
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2013"	"2013"	12	27932	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2016"	"2016"	10	27147	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2017"	"2017"	10	27146	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	47	134127	35.0
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	49	133695	36.7
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	44	139768	31.5
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2002"	"2002"	39	135929	28.7
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	39	135034	28.9
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	46	135407	34.0
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2005"	"2005"	50	130970	38.2
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	52	129304	40.2
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	31	130410	23.8
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	45	127193	35.4
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	36	124155	29.0
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2010"	"2010"	31	122504	25.3
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	27	125146	21.6
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2012"	"2012"	30	121852	24.6
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2013"	"2013"	23	119255	19.3
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2014"	"2014"	16	117736	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2016"	"2016"	12	115728	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"< 1 year"	"0"	"White"	"2106-3"	"2017"	"2017"	13	115864	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"1999"	"1999"	11	9979	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2000"	"2000"	12	10350	Unreliable
